type,private_owner,floor_built,floor,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,equipped_kitchen,fitted_wardrobes,air_conditioning,terrace,balcony,storeroom,swimming_pool,garden_area,location,district,distance_to_center,floor-area-estimate
Flat,False,85,4th,3,2,True,True,False,True,True,False,False,False,False,False,False,False,"Calle del Príncipe de Vergara, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.903672449705414,70.0
Flat,False,150,6th,4,2,True,True,False,False,False,False,False,False,False,False,False,False,"Paseo DE LA HABANA, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.893572800846191,112.5
Flat,False,75,1st,2,2,True,True,False,True,True,True,True,False,False,False,False,False,"Calle Profesor Waksman, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.239223161668746,56.25
Duplex,False,230,3rd,2,3,True,True,False,True,True,True,True,True,False,True,False,False,", Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.866979965549538,180.0
Flat,False,88,2nd,2,2,True,True,True,True,True,True,True,False,False,False,False,False,"Calle Antonio Pérez, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.4034592681459146,80.0
Flat,False,78,2nd,2,1,True,True,False,True,True,False,True,False,True,False,False,False,", Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.866979965549538,77.0
Duplex,False,210,ground,3,1,True,True,False,True,True,False,True,True,True,False,False,False,", Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.239223161668746,209.0
Flat,True,138,10th,4,2,True,True,True,True,True,True,True,True,False,False,False,False,"Calle de San Nazario, 6, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.678565678979537,103.5
Flat,False,113,4th,2,2,True,True,False,True,True,True,True,True,False,False,False,False,"Paseo DE LA CASTELLANA, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.3168792369897484,95.0
Flat,False,123,4th,4,2,True,True,False,True,True,True,True,True,False,True,False,False,"Calle de Sánchez Pacheco, Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.341723269653018,109.0
Flat,False,52,3rd,1,1,True,True,False,True,True,False,True,True,False,False,False,False,", Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,5.575755458856423,51.0
Flat,False,80,1st,3,1,True,True,False,True,True,True,False,False,False,False,False,False,"Costa Rica, 26, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.239223161668746,75.0
Semi-detached,False,400,4,5,4,True,False,True,True,True,True,True,True,False,True,True,False,", Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,5.575755458856423,300.0
Flat,False,170,2nd,3,2,True,True,False,True,True,True,True,True,False,False,False,False,", Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.866979965549538,127.5
Flat,False,119,1st,1,2,True,True,False,True,True,False,True,False,False,False,False,False,"Calle de la Drácena, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,5.876086730820737,89.25
Flat,False,190,3rd,2,3,True,True,False,True,True,True,True,False,False,False,False,False,", Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.866979965549538,142.5
Flat,True,129,1st,2,2,True,True,False,True,True,True,True,True,True,False,False,False,"Avenida de Concha Espina, 57, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.397721223559528,96.75
Flat,False,71,4th,1,1,True,True,False,True,True,True,True,False,True,False,False,False,"Plaza de Valparaíso, 4, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.719553643745505,59.0
